id,Kichwa,Español
1,Abya yala, Continente americano 
2,Abyalami chawchuri rikurimanta, Racismo en América 
3,ACCIDENTES GEOGRAFICOS, ALLPAPI TIYASHKAKUNA 
4,Acequia, Wayku 
5,Achachilasa- ñawpa kawsakkuna kitsil, Antepasados 
6,Achik, Claro- luz 
7,Achik mama, Madrina 
8,Achik wawa, Ahijado- ahijada 
9,Achik yaya / achik tayta, Padrino 
10,Achiksamaytu, Ozono 
11,Achikshumaytu, Ozono 
12,Achikyachina (yuyaymanta), Aclarar 
13,Achikyana (punchamanta), Aclarar 
14,Achka, mucho 
15,Achkak, Suficiente 
16,Ahak, Ofensor 
17,Ahay, Ofender- ofensa 
18,Akapi, Cebada 
19,Akcha, Pelo- cabello 
20,Akcha kara, Cuero cabelludo 
21,Akllashka chani, Muestra Estadística 
22,Akllawarmi, Virgen 
23,Akllay, escoger 
24,Akna, Ceremonia 
25,Akna, Ceremonia 
26,Akukutinchik, Múltiplo del gramo 
27,Akuna, Masticar 
28,Akuy, Vil 
29,Alakay, Alcanzar 
30,Alapana, pegar- adherir 
31,Alaparina, Apegarse- aferrarse 
32,Allana, Excavar 
33,Allawka, Derecha mano 
34,Allawka- alliman, Derecho 
35,Alli, Bien- bueno 
36,Alli maki, Mano derecha 
37,Allichi, adorno 
38,Allichina, Arreglar 
39,Allichiy, Arreglar 
40,Allikachina, Gustar 
41,Allikay, Salud- Bneficio 
42,Allikillkay, Ortografía. 
43,Allikillkay (W), Ortografía 
44,Allimanta, despacio- de buena manera 
45,Allimikuy, Nutrición 
46,Allin, Magnifico 
47,Alliyana, Sanar- curar 
48,Alliyay, Recuperar la salud 
49,Allku, Perro 
50,Allpa, Tierra- suelo 
51,Allpa kara, Corteza terrestre 
52,Allpa khiwa, Hierba rastrera 
53,Allpachawpipacha muyuy, Línea ecuatorial 
54,Allpachinkari, Erosión 
55,Allpachinkariy, Erosión 
56,Allpachukchuy, Temblor 
57,Allpakamay saywachi, Geografía política 
58,Allpakutik, Movimiento de nutación 
59,Allpamama chaska, Planeta tierra 
60,Allpamamakamay, Geografía 
61,Allpamamapi rikuchi, Ubicación Geográfica 
62,Allpampay, Superficie de la tierra 
63,Allpamuyuy, Movimiento de traslación 
64,Allpanpa, Superficial 
65,Allpapacha, Continente 
66,Allpapachakak, Natural 
67,Allpapachapampa, Superficie de la tierra 
68,Allpapachapi tiyak chalwakuna, Recursos Ictiológicos 
69,Allpapachapi tiyak chukikuna, Recursos Mineros 
70,Allpapachapi tiyak yakukuna, Recursos hidrográfico 
71,Allpapachapi tiyak yurakuna, Recursos Forestales 
72,Allpapachapi tiyakuna, Recursos naturales 
73,Allpapiruruy, Movimiento de rotación 
74,Allparantikillka, Escritura 
75,Allpashuyu, Mapa 
76,Allpashuyukamay, Cartografía 
77,Allpawaklliyay, Erosión 
78,Allpawira, Petróleo 
79,Allpawira- Wisisi, Petróleo 
80,Allpawku, Subterráneo 
81,Allpañan, Vía terrestre 
82,Allpañutuchina, Desterronar 
83,Almut, Almud 25 lib 
84,Ama llulla, Honestidad 
85,Amapuna, Traer 
86,Amaru, Serpiente 
87,Amawta, Científico 
88,Amawta yachay, Contenido científico 
89,Amawtay, Ciencia 
90,Amañana, Adaptar 
91,Amañana- yacharina, Adaptar 
92,Amañarina, Adaptarse 
93,Amañariy, Adaptación 
94,Amita, sopa 
95,Ampana, Bostezar 
96,Amsa, Opaco 
97,Amsayana, Ocultar el sol 
98,Amukay, Suavidad 
99,Amulliy, Poner algo en la boca 
100,Ana, Lunar 
101,Anaku, Falda 
102,Anchachilasa- ñawpa kawsakkuna, Antepasados 
103,Anchakuyay, Pasión de vehemencia amorosa 
104,Anchallpa, Globo Terráqueo 
105,Anchallpakamay, Geopolítica 
106,Anchayupay, Importancia 
107,Anchuchina, Quitar- sustraer 
108,Anchuchiy, Quitar 
109,Anchuna, Irse de casa- moverse de sitio 
110,Anchuriy, retirarse 
111,Anchuy, retirada 
112,Anka, Gallinazo 
113,Ankana, Volar 
114,Ankas, Azul 
115,ANKAS TAPA WARA, blue jean 
116,Ankay, ceremonial 
117,Ankichik, Radio emisor 
118,Ankiyachik, Radio receptor 
119,Anku, Vena- arteria 
120,Ankuyana, Marchitarse envecer 
121,Anta, Metal 
122,Antaki, Plomo 
123,Antakullki, Monedas 
124,Antanikik, Computadora 
125,Antanikik chaski, Correo Electrónico 
126,Antapachachik, Reloj mecánico 
127,Antawa, Coche- carro 
128,Antayari, Radio 
129,Antayay, Metalúrgico 
130,Antisuyu, Región Amazónica 
131,Apana, Llevar 
132,Apanakuy, Llevarse - relacionarse 
133,Apankara, Cáncerenfermedad 
134,Apankura, Cáncer signo 
135,Aparikanta, Medios de transporte 
136,Aparina, Cargar 
137,Apariykancha, Medios de transporte 
138,Apay, guiar- conducir 
139,Api, colada- mazamorra 
140,Apuk, ancestros 
141,Apuk, Líder-Autoridad 
142,Apukkuna, Autoridades 
143,Apukkuna tantaripacha, Período de integración 
144,Apukkuna tantatripacha, Período de Integración 
145,Apuktukushka, Emperador 
146,Apunchik, Dios 
147,Apunchikamay, Religión 
148,Apunchikwasi, Iglesia 
149,Apuskachak, soberbio 
150,Apyayala, Continente americano 
151,Apyayalapi chawchuri rikurimanta, Racismo en América 
152,apyu, caballo 
153,Arawik, Poeta 
154,Arena, Thiyu / illul 
155,Arina, Estrenar 
156,Arinichina, Convencer 
157,Arinina, Acceder- consentir 
158,arininakuy, acuerdo- tratado 
159,Arininakuy, Acuerdos- Tratados 
160,Arma, ayñi 
161,Armana, Bañar 
162,Ashanka, Canasto 
163,Ashankayrumpa, Básquet 
164,Ashnana, Oler 
165,Ashtarina, Mobilizarse- transportarse- moverse. 
166,Asichik, hazmereír 
167,Asichisiki, Chistoso 
168,Asina, Reír 
169,Asinayay, chistoso- que causa risa 
170,Asipayak, Burlón 
171,Aspi, Guión 
172,Aspina, rascar- subrayar- 
173,Atallpa, Gallina 
174,Atam, Parásito- 
175,Ataw, Jóvez. 
176,Atawchay, Fortuna 
177,Atawchayuk, Afortunado 
178,Atina, Vencer 
179,Atipay, Conquista 
180,Atiy, Poder 
181,Atsiyana, Estornudar 
182,Atuk, Lobo 
183,Atukamay, Industria 
184,Atukay, Industria 
185,Atukayashka pukuy, Producción industrial 
186,Atyak, Babosa 
187,Awaki, Lunes 
188,AWAKI puncha, Lunes 
189,Awana, Tejer 
190,Awayllamkay, Obraje 
191,Awika, Variedad 
192,Awka, Militar- soldado 
193,Awkakancha, Ejército 
194,Awkarik puncha, Martes 
195,Awkaruna, pagano 
196,Awkawasi, Cuartel 
197,Awki, Principe- noble 
198,Aya Uma, Personaje mitologico que lidera el inti raymi- materializacion de las energias de la Pacha Mama 
199,aycha, carne 
200,Aycha / ukku, Carne- cuerpo 
201,Ayllu, Familia 
202,Ayllu chariy, Poseer familia 
203,Ayllu shuti, Apellidos Antroponimio 
204,Ayllullanikipushak, Monarquía 
205,Ayllumallki, Arbol genealógico 
206,Ayllunikiyashka, Grados de afinidad 
207,Aymuray, Mayo 
208,AYMURAY killa, Mayo 
209,aynikuy, Participación  
210,Aynina, Convivir 
211,Ayninakuy, Participativa 
212,Ayriwa, Abril 
213,AYRIWA killa, Abril 
214,Aysana, Halar- cosechar 
215,aysana, Arrastrar 
216,Ayñi, arma 
217,Añaki, Bacteria 
218,Añanku, Hormiga 
219,Añas, Zorro 
220,Añaw, Virus 
221,Chachina, Masticar 
222,Chakana, Cruzar 
223,Chakariy- Mushukyay, Cruzamiento 
224,Chakata tullu, Clavícula 
225,Chakcha, Alabanza 
226,Chaki, Pie 
227,Chaki ruka, Dedo del pie 
228,Chaki sillu, Uña del dedo del pie 
229,Chaki uku, Planta del pie 
230,Chaki washa, Talon 
231,Chakichina, Secar 
232,Chakina, secar 
233,Chakishka, seco 
234,Chakishkapacha, Sequía 
235,Chakllamanyachi, Paralelogramo 
236,Chaklli, Quìmico 
237,Chakllisinchi, Química 
238,Chakra, Sementera 
239,Chakrakamay, Agricultura- agrícola 
240,Chakrakamay- Allpa llankay, Agricultura 
241,Chakrana, Cultivar 
242,Chakrawiwakamay, Agropecuaria 
243,Chakru, Mixto o combinado 
244,Chakruy, Composición 
245,Challay, Rito 
246,Challay- Wilkay- hawkay, Rito 
247,Challwa, Pez 
248,Challwa kapina, pescar 
249,Challwakamay, Pesca- pesquera- ictiología 
250,Chani, Valor 
251,Chani – kuska, Lugar turístico 
252,Chanichina, Valorar 
253,Chanikuna, Datos 
254,Chanina, Valorar 
255,Chaniyay, Valencia 
256,CHANIYUK, Caro- de valor en dinero 
257,Chanka, Pierna 
258,Chantasu, Llama 
259,Chapak, Policía 
260,Chapak kamaypaktachi, Intendencia de policía 
261,Chapak kamaypaktachi puhak, Comando provincia de policía 
262,Chapak kamaypaktachi puhask, Comando provincia de policía 
263,Chapana, Vigilar 
264,Chapuna, mezclar 
265,Chapuri, Composición  
266,Chapuriy, Combinación 
267,Charik, Rico 
268,Charikyana, Enriquecer- ganar dinero- acumularse 
269,Charina, Tener 
270,Charinayay, Tesoro 
271,Charirashka rumpa, Balón Sostenido 
272,Charirashka yasiy, Balón Sostenido 
273,Charishkata killkakamachiy, Registro de la propiedad 
274,Chashnalla, Solamente asi o de esa manera. 
275,CHASKA puncha, Viernes 
276,Chaska rikuchik, Telescopio 
277,Chaskakancha, Constelación 
278,Chaskancha, Constelación 
279,CHASKI SHUYULLI, Sello postal / Timbre postaL 
280,Chaskichik, Recibo 
281,Chaskik, Relevo 
282,CHASKILLI, Buzón de correo / casillero de correo 
283,Chaskina, Recibir 
284,Chaskinancha, Codominio 
285,Chawa, Crudo 
286,Chawar, Cabuya- Penco 
287,Chawcha, Delicado- fecundo- rápido de madurar 
288,Chawchuy, Origen 
289,Chawpi, Medio-mitad 
290,Chawpi kawsaypacha makanakuy, Guerra medieval 
291,Chawpi pukcha, Medio quintal 
292,Chawpi puncha, Medio día 
293,Chawpi tuta, Media noche 
294,Chawpi wata, Medio año 
295,Chawpi yachay, Segundo Nivel de Educación Media 
296,Chawpihanika, Media fanega 120 lb 
297,Chawpikakuna, Medios 
298,Chawpikuska, Semirrecta 
299,Chawpikutirik, Media geométrica 
300,Chawpina / rakina, Partir 
301,Chawpipampa, Semiplano 
302,Chawpisuyu, Región central 
303,Chawpiyak, Media aritmética 
304,Chawpiyak chanikuna, Medidas de tendencia central 
305,Chawpiyamuk, Mediana 
306,Chawra, Combustible 
307,Chayana, Llegar 
308,Chayllatak, Sinónimo 
309,Chayman, Directo 
310,Chayniyak, Distancia 
311,Chaypikana, Asistir 
312,Chayra, Aun 
313,Chayrak, Todavia 
314,Chayrak ama, Todavia no 
315,Chayshinaya, Copia 
316,Chayshuk, Otro- otra siguiente 
317,Chayshuk kawsay, Otra vida 
318,Chaysinaya, Copia 
319,Chaytalla, solamente 
320,Chaytu, Fantasma 
321,Chichuna, Fecundar 
322,Chika, Tamaño/ verdad 
323,Chikan, Diferente/ raro/ estraño 
324,Chikanchik iñu, Punto aparte. 
325,Chikanchik iñu(W), Punto aparte 
326,Chikanrakikyuk pakiyupaykuna, Fracciones heterogéneas 
327,Chikanyana, Diferenciar 
328,Chikanyay, Diferente o distinto 
329,Chikchichak, coqueto/a 
330,Chikchichay, coquetear- coqueteo 
331,Chiknina, Odiar 
332,Chikta- shara, partido- resquebrajado 
333,Chiktana, Partir- rajar la madera 
334,Chilina, Naranja 
335,Chillay, Miércoles 
336,CHILLAY puncha, Miércoles 
337,Chillka, Chilca 
338,Chimay, Descubrir una adivinanza 
339,Chimiyana, Surgir- emerger- germinar 
340,Chimlasay, Bióxido de carbono 
341,Chimpamanyaypurachi, Seno 
342,Chimpamanyaypurachimuy, Cosecante 
343,Chimpamanyaypuramunchi, Cosecante 
344,Chimpamanyaypuranchi, Seno 
345,Chimpana, Cruzar 
346,Chimpanakuy, Antónimo 
347,Chimpapurachi, Relación 
348,Chimpapuranakuna, debatir 
349,Chimpapuranakuy, Debate 
350,Chimpapuraychiy, Comparación o relacionamiento 
351,Chimpaykuchukuna, Ángulo opuesto por el vértice  
352,Chinaku, Homosexual- gay 
353,Chinawakra, Hembra- femenino para animales 
354,Chinchaysuyu, Norte 
355,Chiniku, Minuto 
356,Chinilla, Segundo 
357,Chinkana, Perderse- desaparecer 
358,Chinkay, Perder 
359,Chinlli, Desayuno 
360,Chiri, Frío 
361,Chirikunuy, Clima 
362,Chirimuya, Chirimoya 
363,Chirina, Hacer frio 
364,Chiriwrku, paramo 
365,Chishi, Tarde 
366,Chita, Chivo- cabra 
367,Chiwila, Piña 
368,Chucha, Rapoza 
369,chuchi, pollo 
370,Chuchu, Seno 
371,chuhama- churipakchuri, Nieto 
372,Chukchina, recoger la sobra 
373,Chukchu unkuy, Paludismo 
374,Chukchuk, Tembloroso 
375,Chukchuna, temblar 
376,Chuki, Mineral 
377,Chukikamay, Minera- minería 
378,Chukillankay, Mitas 
379,Chukllu, Choclo 
380,chukri, herida 
381,Chukrichiy, Herir 
382,Chukrina, Lastimarse 
383,Chukrishka, Herido/a 
384,Chukriy, Herir 
385,Chukriyku, Ulcera 
386,Chuku, casco- celada 
387,Chukuri, Comadreja 
388,Chullachishka kutinkutinchikyuk puchu, Diferencia de exponentes impares 
389,Chullachishka yupay, Número impar 
390,Chullashka kimsamanyachi, Triángulo escaleno 
391,Chullayashka yupay, Número impar 
392,Chullpi, Chulpi 
393,Chumpi, Faja 
394,Chumpiku, Cinta 
395,CHUNKA, diez- 10 
396,CHUNKA SHUK, once- 11 
397,Chunkachik hillay, Material decimal 
398,Chunkachishka yupaychikakunata, Representación polinómica del 
399,Chunkakri, Décimo 
400,Chunkalli, Decimal 
401,Chunkana, Juego de azar 
402,Chunkayllichik, Sistema decimal 
403,Chuntapalashka, Embrujado 
404,Chupu, Tumor 
405,Churana, Ropa- ponerse la ropa- llevar puesto 
406,CHURANAKUNA, VESTIMENTA 
407,Churi, Hijo 
408,Churu, Caracol 
409,Chushak, Vacío 
410,Chushik, Lechuza 
411,CHUSKU, cuatro- 4 
412,CHUSKU CHUNKA, cuarenta- 40 
413,CHUSKU PATSAK, cuatrocientos- 400 
414,Chuskuchishka pampa, Plano bidimensional Cartesiano 
415,Chuskumanyachi, Cuadrilátero 
416,Chuspi, Mosca 
417,Chutana, halar 
418,Chutarik, Elasticidad 
419,Chutarina, Estirarse- ponerse en el suelo 
420,Chuya, Aguado 
421,Chuyaklla yaku, Agua potable 
422,Chuyakllachina, Potabilizar 
423,Chuyakllachiy, Potabilización 
424,Chuyayana, Asear 
425,Chuyayay, Desinfección 
426,Chuyayay(GT), Aseo 
427,Hachun, Nuera- cuñada 
428,Hallmana, Desyerbar 
429,Hampatu, Rana 
430,hampi, curación- medicina 
431,HAMPIK IKAY, Seguro Medico 
432,HAMPIKILLKALLI, Receta Medica 
433,Hampina, Curar 
434,Hampiwasi, Centro de Salud- Hospital 
435,Hamuktana, Entender 
436,Hamutana, Comprender: 
437,Hamutay, Comprensión/ comprender 
438,Hanika, Fanega 
439,Hankana, Desequilibrar 
440,Hankay, Desequilibrio 
441,Hantsa, Páncreas 
442,Hapina, coger- agarrar 
443,Haplla, descomedido 
444,Harkana, Atrancar 
445,Harkana- Kinchana, Cercar 
446,Harkarina, Tolerancia 
447,Harkariy, Atascarse 
448,Harkashka shimiki, Sílabas trabadas. 
449,Hatarikuna, Manifestaciones 
450,Hatariy, Levantamiento 
451,Hatun, Grande 
452,Hatun apuktukushka, Señoríos 
453,Hatun hallmay, Aporque 
454,Hatun hatun runa, gigante 
455,Hatun ishpa / isma, Caca 
456,Hatun kahas, Macizo montaña grande 
457,Hatun kaksas, Macizo montaña grande 
458,Hatun mama, Abuela 
459,Hatun paktay, Objetivo general 
460,Hatun rikuchik, Indicador general 
461,Hatun wankurikuna, Organizaciones nacionales 
462,Hatun yachay, Tercer Nivel de Educación Superior 
463,Hatun yaya / hatun tayta, Abuelo 
464,Hatuna, Vender 
465,HATUNA PAMPA, Mercado 
466,HATUNA WASILLI, Kiosko- chiringuito 
467,Hatunkay, Grandeza 
468,Hatunkillka, Mayúscula 
469,Hatunkucha, Mar 
470,hatunyachanawasi, Universidad 
471,Hawa, Arriba 
472,Hawachiy, alzar 
473,Hawahawalla, Superficialmente 
474,Hawakara, Epidermis 
475,Hawakarak, Epidermico- relativo a la epidermis 
476,Hawalla, Superficial 
477,Hawalla shimiki, Sílaba simple. 
478,Hawallallpa, Suelo 
479,Hawapacha, Espacio- cielo 
480,Hawaykawsay, Civilización 
481,Hawchashka, Ensalada 
482,Hayak, Amargo- hiel- bilis 
483,HAYAK MUYU, Pimienta 
484,HAYTAYPUKLLAY, Futbol 
485,Hayñi, Derecho 
486,Hikama, Jícama 
487,Hillay, Implemento 
488,Hillaykuna, Instrumentos 
489,Hillaysapa, Aparato 
490,HILLI, Sopa 
491,Hita, pozo 
492,Hondonada, Pukru 
493,Huchu kiru, Muela 
494,Huku ukuyayllika, Secreccion endogeno 
495,Hukukanllayay, Secrecion exogeno 
496,Hukurillawsallika, Sistema excretor 
497,Humpi, Sudor 
498,Humpina, Sudar 
499,Hunina, Conjugar 
500,Hunkay, Semana 
501,Hunkay / kanchisri, Semana 
502,Hunta, lleno 
503,HUNU, millón- 1000000 
504,Hutkunantak, Taladro 
505,Huña, Moco 
506,Ichanik, Duda 
507,Ichanik yuyal, Oración dubitativa. 
508,Ichanik yuyay, Oración dubitativa 
509,ILLAK, cero- 0 
510,Illana- mana tiyana, No haber- ausentar 
511,Illapa, Arma de fuego escopeta 
512,Illay, faltar 
513,Ima rikunchikuna, Causa 
514,Imachik, Verbo 
515,Imachik yuyayki, Frase verbal 
516,IMACHIKKUNA, VERBOS 
517,Imak, Sujeto 
518,Imakak, Característica 
519,Imakay, Concepto. 
520,Imakay (W), Concepto 
521,Imakay sapsikuna, Características generales 
522,Imakaychina, Conceptualizar 
523,Imakaychinamanta, Conceptualización 
524,Imallichik, Adverbio 
525,Imamantachiy, Justificación 
526,Imanik, Predicado 
527,Imapash, Cualquier cosa 
528,Imarayku, Causas 
529,Imaruran, Consecuencias 
530,Imaruray, Función 
531,Imashinakan, Formas 
532,Imatukuna, Acontecer. 
533,Imatukuna (W), Acontecer 
534,Imatukuy, Acontecimiento- suceder 
535,Imayay, Materia 
536,Imaykuna, Elementos 
537,Imilla, Adolescente hombre- 
538,Inchi, Maní 
539,Inti, Sol- intipuncha Domingo 
540,Inti llika, Sistema Solar 
541,INTI puncha, Domingo 
542,Inti suyu, Este 
543,Intikinrayllipyay, Solsticios 
544,Intillayayllipyay, Equinoccio 
545,Intillika, Sistema solar 
546,Intiraymi, Fiesta de Sol 
547,Intishayakllipyay, Equinoccio 
548,Intiwayllashka, Fotosíntesis 
549,Ishkantinpurachi, Sobreyectiva 
550,ISHKAY, dos- 2 
551,ISHKAY CHUNKA, veinte- 20 
552,ISHKAY PATSAK, docientos- 200 
553,Ishkaychishka kutinkutinchikyuk yapa, Suma de potencias con exponente par 
554,Ishkaychishka yupay, Número par 
555,Ishkaykillkanancha kutinchiy, Factorización de binomios 
556,Ishkaymanpurachi, Biyectiva 
557,Ishkayniki kallari yachay, Segundo Nivel 
558,Ishkaynikichishka iñu, Par ordenado 
559,Ishkaynipa yuyal, Oración bimembre. 
560,Ishkaynipa yuyay, Oración bimembre 
561,Ishkaypakta kimsamanyaychi, Triángulo isósceles 
562,Ishpa phuru, Vejiga 
563,ISKUN, nueve- 9 
564,ISKUN CHUNKA, noventa- 90 
565,ISKUN PATSAK, novecientos- 900 
566,Ismuwanu, Compost 
567,Isru, Aro 
568,Iwila, Shampoo natural Planta 
569,Iñina, Creer 
570,Iñiy, Creencia- creer 
571,Iñu uchilla suyukuna, Puntos colaterales 
572,Iñuku, Átomo 
573,Iñuwa, Molécula 
574,Kachachik, Imperativo 
575,Kachachik yuyay, Oración imperativa 
576,Kachamuna, Mandar- enviar 
577,Kacharishka, Libre 
578,Kachi, Sal 
579,Kachipurawa, Borraja 
580,Kahaskancha, Cordillera 
581,Kahasmuku, Nudos de cordillera 
582,Kakatsu, Lagaña 
583,Kakchiy, Definición 
584,Kakrikuchina, Describir. 
585,kakrikuchina (W), Describir 
586,Kaksaskancha, Cordillera 
587,Kaksaskuna, Accidentes geográficos 
588,Kaksasmuku, Nudos de cordillera 
589,Kaksasuyu pampa, Area Andina 
590,Kaktarikuchik, Físico Estructura 
591,Kakunamaki, desafío 
592,kakwillay, Certificado 
593,Kakwillay- illu, Certificado. 
594,Kalak, Débil 
595,kalak, Débil 
596,Kallampa, Hongo 
597,Kallanpa, Hongo 
598,Kallari yachay, Primer Nivel de Educación Básica 
599,Kallari yuyay, Introducción 
600,Kallarillaktayku, Primeros pobladores 
601,Kallarinancha, Dominio 
602,Kallariy, Presentación- inicio 
603,Kallariy yachay, Educación Básica. 
604,Kallariyuyay, Presentación 
605,Kallpa, Vigor 
606,Kallpana, Correr 
607,Kallpanakuy, Atletismo 
608,Kallpay, Correr 
609,Kalluwatariy, Trabalengua 
610,kamachashka, protegido 
611,kamachay, Proteger 
612,Kamachik, Legislador- Consejero 
613,Kamachik atiy, Poder Legislativo 
614,Kamachik wasi, Corte superior de justicia 
615,Kamachikamay, Administración 
616,Kamachikkuna, Leyes 
617,Kamachina, Consejo- exhoracion 
618,Kamachipuk, Legislativo 
