,Kichwa,Spanish
0,abya yala,continente americano
1,abyalami chawchuri rikurimanta,racismo en américa
2,accidentes geograficos,allpapi tiyashkakuna
3,acequia,wayku
4,"achachilasa, ñawpa kawsakkuna kitsil",antepasados
5,achik,"claro, luz"
6,achik mama,madrina
7,achik wawa,"ahijado, ahijada"
8,achik yaya / achik tayta,padrino
9,achiksamaytu,ozono
10,achikshumaytu,ozono
11,achikyachina (yuyaymanta),aclarar
12,achikyana (punchamanta),aclarar
13,achka,mucho
14,achkak,suficiente
15,ahak,ofensor
16,ahay,"ofender, ofensa"
17,akapi,cebada
18,akcha,"pelo, cabello"
19,akcha kara,cuero cabelludo
20,akllashka chani,muestra estadística
21,akllawarmi,virgen
22,akllay,escoger
23,akna,ceremonia
24,akna,ceremonia
25,akukutinchik,múltiplo del gramo
26,akuna,masticar
27,akuy,vil
28,alakay,alcanzar
29,alapana,"pegar, adherir"
30,alaparina,"apegarse, aferrarse"
31,allana,excavar
32,allawka,derecha (mano
33,"allawka, alliman",derecho
34,alli,"bien, bueno"
35,alli maki,mano derecha
36,allichi,adorno
37,allichina,arreglar
38,allichiy,arreglar
39,allikachina,gustar
40,allikay,"salud, bneficio"
41,allikillkay,ortografía.
42,allikillkay (w),ortografía
43,allimanta,"despacio, de buena manera"
44,allimikuy,nutrición
45,allin,magnifico
46,alliyana,"sanar, curar"
47,alliyay,recuperar la salud
48,allku,perro
49,allpa,"tierra, suelo"
50,allpa kara,corteza terrestre
51,allpa khiwa,hierba rastrera
52,allpachawpipacha muyuy,línea ecuatorial
53,allpachinkari,erosión
54,allpachinkariy,erosión
55,allpachukchuy,temblor
56,allpakamay saywachi,geografía política
57,allpakutik,movimiento de nutación
58,allpamama chaska,planeta tierra
59,allpamamakamay,geografía
60,allpamamapi rikuchi,ubicación geográfica
61,allpampay,superficie de la tierra
62,allpamuyuy,movimiento de traslación
63,allpanpa,superficial
64,allpapacha,continente
65,allpapachakak,natural
66,allpapachapampa,superficie de la tierra
67,allpapachapi tiyak chalwakuna,recursos ictiológicos
68,allpapachapi tiyak chukikuna,recursos mineros
69,allpapachapi tiyak yakukuna,recursos hidrográfico
70,allpapachapi tiyak yurakuna,recursos forestales
71,allpapachapi tiyakuna,recursos naturales
72,allpapiruruy,movimiento de rotación
73,allparantikillka,escritura
74,allpashuyu,mapa
75,allpashuyukamay,cartografía
76,allpawaklliyay,erosión
77,allpawira,petróleo
78,"allpawira, wisisi",petróleo
79,allpawku,subterráneo
80,allpañan,vía terrestre
81,allpañutuchina,desterronar
82,almut,almud (25 lib
83,ama llulla,honestidad
84,amapuna,traer
85,amaru,serpiente
86,amawta,científico
87,amawta yachay,contenido científico
88,amawtay,ciencia
89,amañana,adaptar
90,"amañana, yacharina",adaptar
91,amañarina,adaptarse
92,amañariy,adaptación
93,amita,sopa
94,ampana,bostezar
95,amsa,opaco
96,amsayana,ocultar el sol
97,amukay,suavidad
98,amulliy,poner algo en la boca
99,ana,lunar
100,anaku,falda
101,"anchachilasa, ñawpa kawsakkuna",antepasados
102,anchakuyay,pasión de vehemencia amorosa
103,anchallpa,globo terráqueo
104,anchallpakamay,geopolítica
105,anchayupay,importancia
106,anchuchina,"quitar, sustraer"
107,anchuchiy,quitar
108,anchuna,"irse de casa, moverse de sitio"
109,anchuriy,retirarse
110,anchuy,retirada
111,anka,gallinazo
112,ankana,volar
113,ankas,azul
114,ankas tapa wara,blue jean
115,ankay,ceremonial
116,ankichik,radio emisor
117,ankiyachik,radio receptor
118,anku,"vena, arteria"
119,ankuyana,marchitarse envecer
120,anta,metal
121,antaki,plomo
122,antakullki,monedas
123,antanikik,computadora
124,antanikik chaski,correo electrónico
125,antapachachik,reloj mecánico
126,antawa,"coche, carro"
127,antayari,radio
128,antayay,metalúrgico
129,antisuyu,región amazónica
130,apana,llevar
131,apanakuy,llevarse - relacionarse
132,apankara,cáncer(enfermedad
133,apankura,cáncer (signo
134,aparikanta,medios de transporte
135,aparina,cargar
136,apariykancha,medios de transporte
137,apay,"guiar, conducir"
138,api,"colada, mazamorra"
139,apuk,ancestros
140,apuk,líder-autoridad
141,apukkuna,autoridades
142,apukkuna tantaripacha,período de integración
143,apukkuna tantatripacha,período de integración
144,apuktukushka,emperador
145,apunchik,dios
146,apunchikamay,religión
147,apunchikwasi,iglesia
148,apuskachak,soberbio
149,apyayala,continente americano
150,apyayalapi chawchuri rikurimanta,racismo en américa
151,apyu,caballo
152,arawik,poeta
153,arena,thiyu / illul
154,arina,estrenar
155,arinichina,convencer
156,arinina,"acceder, consentir"
157,arininakuy,"acuerdo, tratado"
158,arininakuy,"acuerdos, tratados"
159,arma,ayñi
160,armana,bañar
161,ashanka,canasto
162,ashankayrumpa,básquet
163,ashnana,oler
164,ashtarina,"mobilizarse, transportarse, moverse."
165,asichik,hazmereír
166,asichisiki,chistoso
167,asina,reír
168,asinayay,"chistoso, que causa risa"
169,asipayak,burlón
170,aspi,guión
171,aspina,"rascar, subrayar,"
172,atallpa,gallina
173,atam,"parásito,"
174,ataw,jóvez.
175,atawchay,fortuna
176,atawchayuk,afortunado
177,atina,vencer
178,atipay,conquista
179,atiy,poder
180,atsiyana,estornudar
181,atuk,lobo
182,atukamay,industria
183,atukay,industria
184,atukayashka pukuy,producción industrial
185,atyak,babosa
186,awaki,lunes
187,awaki puncha,lunes
188,awana,tejer
189,awayllamkay,obraje
190,awika,variedad
191,awka,"militar, soldado"
192,awkakancha,ejército
193,awkarik puncha,martes
194,awkaruna,pagano
195,awkawasi,cuartel
196,awki,"principe, noble"
197,aya uma,"personaje mitologico que lidera el inti raymi, materializacion de las energias de la pacha mama"
198,aycha,carne
199,aycha / ukku,"carne, cuerpo"
200,ayllu,familia
201,ayllu chariy,poseer familia
202,ayllu shuti,apellidos (antroponimio
203,ayllullanikipushak,monarquía
204,ayllumallki,arbol genealógico
205,ayllunikiyashka,grados de afinidad
206,aymuray,mayo
207,aymuray killa,mayo
208,aynikuy,participación
209,aynina,convivir
210,ayninakuy,participativa
211,ayriwa,abril
212,ayriwa killa,abril
213,aysana,"halar, cosechar"
214,aysana,arrastrar
215,ayñi,arma
216,añaki,bacteria
217,añanku,hormiga
218,añas,zorro
219,añaw,virus
220,chachina,masticar
221,chakana,cruzar
222,"chakariy, mushukyay",cruzamiento
223,chakata tullu,clavícula
224,chakcha,alabanza
225,chaki,pie
226,chaki ruka,dedo del pie
227,chaki sillu,uña del dedo del pie
228,chaki uku,planta del pie
229,chaki washa,talon
230,chakichina,secar
231,chakina,secar
232,chakishka,seco
233,chakishkapacha,sequía
234,chakllamanyachi,paralelogramo
235,chaklli,quìmico
236,chakllisinchi,química
237,chakra,sementera
238,chakrakamay,"agricultura, agrícola"
239,"chakrakamay, allpa llankay",agricultura
240,chakrana,cultivar
241,chakrawiwakamay,agropecuaria
242,chakru,mixto o combinado
243,chakruy,composición
244,challay,rito
245,"challay, wilkay, hawkay",rito
246,challwa,pez
247,challwa kapina,pescar
248,challwakamay,"pesca, pesquera, ictiología"
249,chani,valor
250,chani – kuska,lugar turístico
251,chanichina,valorar
252,chanikuna,datos
253,chanina,valorar
254,chaniyay,valencia
255,chaniyuk,"caro, de valor en dinero"
256,chanka,pierna
257,chantasu,llama
258,chapak,policía
259,chapak kamaypaktachi,intendencia de policía
260,chapak kamaypaktachi puhak,comando provincia de policía
261,chapak kamaypaktachi puhask,comando provincia de policía
262,chapana,vigilar
263,chapuna,mezclar
264,chapuri,composición
265,chapuriy,combinación
266,charik,rico
267,charikyana,"enriquecer, ganar dinero, acumular(se"
268,charina,tener
269,charinayay,tesoro
270,charirashka rumpa,balón sostenido
271,charirashka yasiy,balón sostenido
272,charishkata killkakamachiy,registro de la propiedad
273,chashnalla,solamente asi o de esa manera.
274,chaska puncha,viernes
275,chaska rikuchik,telescopio
276,chaskakancha,constelación
277,chaskancha,constelación
278,chaski shuyulli,sello postal / timbre postal
279,chaskichik,recibo
280,chaskik,relevo
281,chaskilli,buzón de correo / casillero de correo
282,chaskina,recibir
283,chaskinancha,codominio
284,chawa,crudo
285,chawar,"cabuya, penco"
286,chawcha,"delicado, fecundo, rápido de madurar"
287,chawchuy,origen
288,chawpi,medio-mitad
289,chawpi kawsaypacha makanakuy,guerra medieval
290,chawpi pukcha,medio quintal
291,chawpi puncha,medio día
292,chawpi tuta,media noche
293,chawpi wata,medio año
294,chawpi yachay,segundo nivel de educación media
295,chawpihanika,media fanega 120 lb
296,chawpikakuna,medios
297,chawpikuska,semirrecta
298,chawpikutirik,media geométrica
299,chawpina / rakina,partir
300,chawpipampa,semiplano
301,chawpisuyu,región central
302,chawpiyak,media aritmética
303,chawpiyak chanikuna,medidas de tendencia central
304,chawpiyamuk,mediana
305,chawra,combustible
306,chayana,llegar
307,chayllatak,sinónimo
308,chayman,directo
309,chayniyak,distancia
310,chaypikana,asistir
311,chayra,aun
312,chayrak,todavia
313,chayrak ama,todavia no
314,chayshinaya,copia
315,chayshuk,"otro, otra (siguiente"
316,chayshuk kawsay,otra vida
317,chaysinaya,copia
318,chaytalla,solamente
319,chaytu,fantasma
320,chichuna,fecundar
321,chika,tamaño/ verdad
322,chikan,diferente/ raro/ estraño
323,chikanchik iñu,punto aparte.
324,chikanchik iñu(w),punto aparte
325,chikanrakikyuk pakiyupaykuna,fracciones heterogéneas
326,chikanyana,diferenciar
327,chikanyay,diferente o distinto
328,chikchichak,coqueto/a
329,chikchichay,"coquetear, coqueteo"
330,chiknina,odiar
331,"chikta, shara","partido, resquebrajado"
332,chiktana,"partir, rajar la madera"
333,chilina,naranja
334,chillay,miércoles
335,chillay puncha,miércoles
336,chillka,chilca
337,chimay,descubrir una adivinanza
338,chimiyana,"surgir, emerger, germinar"
339,chimlasay,bióxido de carbono
340,chimpamanyaypurachi,seno
341,chimpamanyaypurachimuy,cosecante
342,chimpamanyaypuramunchi,cosecante
343,chimpamanyaypuranchi,seno
344,chimpana,cruzar
345,chimpanakuy,antónimo
346,chimpapurachi,relación
347,chimpapuranakuna,debatir
348,chimpapuranakuy,debate
349,chimpapuraychiy,comparación o relacionamiento
350,chimpaykuchukuna,ángulo opuesto por el vértice
351,chinaku,"homosexual, gay"
352,chinawakra,"hembra, femenino para animales"
353,chinchaysuyu,norte
354,chiniku,minuto
355,chinilla,segundo
356,chinkana,"perderse, desaparecer"
357,chinkay,perder
358,chinlli,desayuno
359,chiri,frío
360,chirikunuy,clima
361,chirimuya,chirimoya
362,chirina,hacer frio
363,chiriwrku,paramo
364,chishi,tarde
365,chita,"chivo, cabra"
366,chiwila,piña
367,chucha,rapoza
368,chuchi,pollo
369,chuchu,seno
370,"chuhama, churipakchuri",nieto
371,chukchina,recoger la sobra
372,chukchu unkuy,paludismo
373,chukchuk,tembloroso
374,chukchuna,temblar
375,chuki,mineral
376,chukikamay,"minera, minería"
377,chukillankay,mitas
378,chukllu,choclo
379,chukri,herida
380,chukrichiy,herir
381,chukrina,lastimarse
382,chukrishka,herido/a
383,chukriy,herir
384,chukriyku,ulcera
385,chuku,"casco, celada"
386,chukuri,comadreja
387,chullachishka kutinkutinchikyuk puchu,diferencia de exponentes impares
388,chullachishka yupay,número impar
389,chullashka kimsamanyachi,triángulo escaleno
390,chullayashka yupay,número impar
391,chullpi,chulpi
392,chumpi,faja
393,chumpiku,cinta
394,chunka,"diez, 10"
395,chunka shuk,"once, 11"
396,chunkachik hillay,material decimal
397,chunkachishka yupaychikakunata,representación polinómica del
398,chunkakri,décimo
399,chunkalli,decimal
400,chunkana,juego de azar
401,chunkayllichik,sistema decimal
402,chuntapalashka,embrujado
403,chupu,tumor
404,churana,"ropa, ponerse la ropa, llevar puesto"
405,churanakuna,vestimenta
406,churi,hijo
407,churu,caracol
408,chushak,vacío
409,chushik,lechuza
410,chusku,"cuatro, 4"
411,chusku chunka,"cuarenta, 40"
412,chusku patsak,"cuatrocientos, 400"
413,chuskuchishka pampa,plano bidimensional (cartesiano
414,chuskumanyachi,cuadrilátero
415,chuspi,mosca
416,chutana,halar
417,chutarik,elasticidad
418,chutarina,"estirarse, ponerse en el suelo"
419,chuya,aguado
420,chuyaklla yaku,agua potable
421,chuyakllachina,potabilizar
422,chuyakllachiy,potabilización
423,chuyayana,asear
424,chuyayay,desinfección
425,chuyayay(gt),aseo
426,hachun,"nuera, cuñada"
427,hallmana,desyerbar
428,hampatu,rana
429,hampi,"curación, medicina"
430,hampik ikay,seguro medico
431,hampikillkalli,receta medica
432,hampina,curar
433,hampiwasi,"centro de salud, hospital"
434,hamuktana,entender
435,hamutana,comprender:
436,hamutay,comprensión/ comprender
437,hanika,fanega
438,hankana,desequilibrar
439,hankay,desequilibrio
440,hantsa,páncreas
441,hapina,"coger, agarrar"
442,haplla,descomedido
443,harkana,atrancar
444,"harkana, kinchana",cercar
445,harkarina,tolerancia
446,harkariy,atascarse
447,harkashka shimiki,sílabas trabadas.
448,hatarikuna,manifestaciones
449,hatariy,levantamiento
450,hatun,grande
451,hatun apuktukushka,señoríos
452,hatun hallmay,aporque
453,hatun hatun runa,gigante
454,hatun ishpa / isma,caca
455,hatun kahas,macizo (montaña grande
456,hatun kaksas,macizo (montaña grande
457,hatun mama,abuela
458,hatun paktay,objetivo general
459,hatun rikuchik,indicador general
460,hatun wankurikuna,organizaciones nacionales
461,hatun yachay,tercer nivel de educación superior
462,hatun yaya / hatun tayta,abuelo
463,hatuna,vender
464,hatuna pampa,mercado
465,hatuna wasilli,"kiosko, chiringuito"
466,hatunkay,grandeza
467,hatunkillka,mayúscula
468,hatunkucha,mar
469,hatunyachanawasi,universidad
470,hawa,arriba
471,hawachiy,alzar
472,hawahawalla,superficialmente
473,hawakara,epidermis
474,hawakarak,"epidermico, relativo a la epidermis"
475,hawalla,superficial
476,hawalla shimiki,sílaba simple.
477,hawallallpa,suelo
478,hawapacha,"espacio, cielo"
479,hawaykawsay,civilización
480,hawchashka,ensalada
481,hayak,"amargo, hiel, bilis"
482,hayak muyu,pimienta
483,haytaypukllay,futbol
484,hayñi,derecho
485,hikama,jícama
486,hillay,implemento
487,hillaykuna,instrumentos
488,hillaysapa,aparato
489,hilli,sopa
490,hita,pozo
491,hondonada,pukru
492,huchu kiru,muela
493,huku ukuyayllika,secreccion endogeno
494,hukukanllayay,secrecion exogeno
495,hukurillawsallika,sistema excretor
496,humpi,sudor
497,humpina,sudar
498,hunina,conjugar
499,hunkay,semana
500,hunkay / kanchisri,semana
501,hunta,lleno
502,hunu,"millón, 1000000"
503,hutkunantak,taladro
504,huña,moco
505,ichanik,duda
506,ichanik yuyal,oración dubitativa.
507,ichanik yuyay,oración dubitativa
508,illak,"cero, 0"
509,"illana, mana tiyana","no haber, ausentar"
510,illapa,arma de fuego (escopeta
511,illay,faltar
512,ima rikunchikuna,causa
513,imachik,verbo
514,imachik yuyayki,frase verbal
515,imachikkuna,verbos
516,imak,sujeto
517,imakak,característica
518,imakay,concepto.
519,imakay (w),concepto
520,imakay sapsikuna,características generales
521,imakaychina,conceptualizar
522,imakaychinamanta,conceptualización
523,imallichik,adverbio
524,imamantachiy,justificación
525,imanik,predicado
526,imapash,cualquier cosa
527,imarayku,causas
528,imaruran,consecuencias
529,imaruray,función
530,imashinakan,formas
531,imatukuna,acontecer.
532,imatukuna (w),acontecer
533,imatukuy,"acontecimiento, suceder"
534,imayay,materia
535,imaykuna,elementos
536,imilla,"adolescente (hombre),"
537,inchi,maní
538,inti,"sol, (intipuncha) domingo"
539,inti llika,sistema solar
540,inti puncha,domingo
541,inti suyu,este
542,intikinrayllipyay,solsticios
543,intillayayllipyay,equinoccio
544,intillika,sistema solar
545,intiraymi,fiesta de sol
546,intishayakllipyay,equinoccio
547,intiwayllashka,fotosíntesis
548,ishkantinpurachi,sobreyectiva
549,ishkay,"dos, 2"
550,ishkay chunka,"veinte, 20"
551,ishkay patsak,"docientos, 200"
552,ishkaychishka kutinkutinchikyuk yapa,suma de potencias con exponente par
553,ishkaychishka yupay,número par
554,ishkaykillkanancha kutinchiy,factorización de binomios
555,ishkaymanpurachi,biyectiva
556,ishkayniki kallari yachay,segundo nivel
557,ishkaynikichishka iñu,par ordenado
558,ishkaynipa yuyal,oración bimembre.
559,ishkaynipa yuyay,oración bimembre
560,ishkaypakta kimsamanyaychi,triángulo isósceles
561,ishpa phuru,vejiga
562,iskun,"nueve, 9"
563,iskun chunka,"noventa, 90"
564,iskun patsak,"novecientos, 900"
565,ismuwanu,compost
566,isru,aro
567,iwila,shampoo natural (planta
568,iñina,creer
569,iñiy,"creencia, creer"
570,iñu uchilla suyukuna,puntos colaterales
571,iñuku,átomo
572,iñuwa,molécula
573,kachachik,imperativo
574,kachachik yuyay,oración imperativa
575,kachamuna,"mandar, enviar"
576,kacharishka,libre
577,kachi,sal
578,kachipurawa,borraja
579,kahaskancha,cordillera
580,kahasmuku,nudos (de cordillera
581,kakatsu,lagaña
582,kakchiy,definición
583,kakrikuchina,describir.
584,kakrikuchina (w),describir
585,kaksaskancha,cordillera
586,kaksaskuna,accidentes geográficos
587,kaksasmuku,nudos (de cordillera
588,kaksasuyu pampa,area andina
589,kaktarikuchik,físico (estructura
590,kakunamaki,desafío
591,kakwillay,certificado
592,"kakwillay, illu",certificado.
593,kalak,débil
594,kalak,débil
595,kallampa,hongo
596,kallanpa,hongo
597,kallari yachay,primer nivel de educación básica
598,kallari yuyay,introducción
599,kallarillaktayku,primeros pobladores
600,kallarinancha,dominio
601,kallariy,"presentación, inicio"
602,kallariy yachay,educación básica.
603,kallariyuyay,presentación
604,kallpa,vigor
605,kallpana,correr
606,kallpanakuy,atletismo
607,kallpay,correr
608,kalluwatariy,trabalengua
609,kamachashka,protegido
610,kamachay,proteger
611,kamachik,"legislador, consejero"
612,kamachik atiy,poder legislativo
613,kamachik wasi,corte superior de justicia
614,kamachikamay,administración
615,kamachikkuna,leyes
616,kamachina,"consejo, exhoracion"
617,kamachipuk,legislativo
618,kamachipuk tay,poder legislativo
619,kamachipuy,legislar
620,kamachiy,aconsejar
621,kamakay,higiene
622,kamana,cuidar/ abundancia
623,kamanayay,precaución
624,kamari,regalo
625,"kamari, challay",ofrenda
626,kamay,cuidar/proteccion
627,kamay paktachi atiy,poder judicial
628,kamayku,evaluación
629,kamaykuchiy,verificación
630,kamaykuna,evaluar
631,kamaykurina,auto evaluar.
632,kamaykurina(w),auto evaluar
633,kamaykuriy,auto-evaluación
634,kamaykuy,evaluación
635,kamaypakta,mandato
636,kamayuk,"cuidador, facultades de autoridad"
637,kamayuk wasi,ministerio
638,kamikuy,agravio
639,kamu,libro
640,kamukuska,biblioteca
641,kamuti,camote
642,kamuyachik,imprenta
643,kan,tú
644,kana,ser / estar
645,kancha,afuera
646,kancha shuti,sustantivo colectivo
647,kanchachani milka,cuadro estadístico
648,kanchachani shuyu,gráfico estadístico
649,kanchachanikamay,estadística
650,kanchaman,hacia fuera
651,kanchayashka,convexo
652,kanchis,"siete, 7"
653,kanchis chunka,"setenta, 70"
654,kanchis patsak,"setecientos, 700"
655,kankuna / kikinkuna,ustedes / vosotros
656,kanllayay,externo
657,kapak,diciembre
658,kapak apuk,gobierno
659,kapak killa,diciembre
660,kapak llakta,reino
661,kapak saylla,meridiano
662,kapak shuyu,mapa político
663,kapakchi tantanakuy,organización política
664,kapakchunkana,ajedréz
665,kapakkamay,política
666,kapakllakta,imperio
667,kapakmarka,"imperio, reinado"
668,kapaktukukamay,politica
669,kapasaylla,meridiano
670,kapisayu,"poncho, alargado y entero (kitukara)."
671,kapisayu (kitukara),"poncho, alargado y entero"
672,"kapuk, pukushka",producto
673,kapulli,capulí
674,kara,"corteza, piel, cáscara"
675,karana,dar regalo.
676,karaskruyuwa,crustáceos
677,kari,hombre
678,kari atallpa,gallo
679,karilla,gallardo
680,karipurakuyay,homosexualidad
681,kariwarmikanakamay,sexualidad
682,"karkanka, sakru",esqueleto
683,karkay,vertebrado
684,karu,lejos
685,karuwillay,telegrama
686,karuyari,teléfono
687,karuyarik wasilli,cabina telefonica
688,karwa,llovizna
689,karway killa,agosto
690,kasha,espina
691,kashakarayukwa,equidermos
692,kasi,"tranquilo, quieto"
693,kasik,paz
694,kasilla,tranquilidad
695,kasku,pecho
696,kasku tullu,esternón
697,kaspana,chamuscar
698,kaspi,"palo, madera"
699,kaspimakana,espada
700,"katana, killpana",cubrir
701,katariy,levantamiento
702,kati paktachik,complemento indirecto.
703,katichay,prosa
704,katichina,imitar.
705,katik iñu,punto seguido.
706,katik iñu(w),punto seguido
707,katik paktachik kp,complemento indirecto
708,katikmanyaypurachi,coseno
709,katikmanyaypuramuchi,secante
710,katikmanyaypuramunchi,secante
711,katikmanyaypuranchi,coseno
712,katiknina,narrar
713,"katikunkuy, purikunkuy",epidemia
714,katina,seguir
715,katinalla,modelo
716,katinti yupaykuna,series numéricas
717,katisuyu rikuchik iñu,puntos colaterales
718,katsu,escarabajo
719,katuranti,negocio
720,katuy,vender
721,katuyranti,feria
722,katuyrantin chani,el valor del intercambio
723,katuyrantin chani,el valor del intercambio
724,kawalli,"lente, gafas"
725,kawana,cantar
726,kaway,observación.
727,kawchuna,torcer
728,kawi,rombo
729,kawikuk,romboide
730,kawilli,camilla
731,kawitu-tiyarina,mueble
732,kawpuna,torcer
733,kawsa marka runa,nacionalidades.
734,kawsakkuna,seres
735,kawsana,vivir
736,kawsay,"cultura, vida"
737,kawsay killka,biografía
738,kawsay killkamachiy,registro civil
739,kawsay mallki,herencia genética
740,kawsaykuk,célula
741,kawsaykuktantalli,tejido
742,kawsaymarka,nacionalidad
743,kawsaypacha,medio ambiente
744,kawsaypura,interculturalidad
745,kawsayrikcha,novela.
746,kawsayrikcha w),novela
747,kawsayshuktakayariy,aculturación
748,kawsayta chikipi churashpa,poniéndose en peligro
749,kawsayuk,célula
750,kay,aquí
751,kaya,mañana
752,kayachina,convocar
753,kayana,invitar/ llamar
754,kayna,ayer
755,kaytarikuchi,estados fìsicos
756,kaytu,nervio
757,khallu,lengua
758,khari,masculino
759,khiwa,hierva
760,khura,maíz germinado
761,khuyana,amar
762,khuzu,larva de escarabajo
763,kichankuy,cólera
764,kichkikuchu,ángulo agudo
765,kichkikuchu kimsamanyachi,triángulo acutángulo
766,kichkikuchu kimsamanyaychi,triángulo acutángulo
767,kichuy,arrebatar
768,kichwa llika,alfabeto kichwa
769,kikin,usted
770,kikin shuti,nombre propio
771,kikinkuyari,autoestima
772,kikinllatak,consigo mismo
773,kikinmanta,atentamente
774,kikinmutsuri,autoconsumo
775,kikinrimay,idiolecto
776,kikinruray,costumbres
777,kikinyari,identidad
778,kikinyarina,identificar – apropiar
779,kiliki,quilico
780,kilkawana,redactar
781,killa,luna
782,killa,mes
783,killanturi,eclipse lunar
784,killanturiy,eclipse lunar
785,killapa nikirakiri,fases de la luna
786,killimsa rumi,carbón de piedra
787,killka kamachik,regla ortográfica
788,killka katina,leer
789,killkakatiyuk,escritor
790,killkana,escribir
791,killkanancha,término algebraico
792,killkananchakamay,álgebra
793,killkananchapurachina,reducción de términos semejantes
794,killkananchaychi,expresión algebraica
795,killkapa unancha,signo de puntuación.
796,killkapa unancha (w),signo de puntuación
797,killkawana,redactar.
798,killkaya,carta
799,killkayachay,tema - teoría
800,killkayrimay,obra literaria
801,killpa,capa
802,killpak kushma,"sweater, saco"
803,killu,amarillo
804,killu sara,maíz amarillo
805,kimi killka,coeficiente o parte literal
806,kimi yupay,coeficiente numérico
807,kimina,acercar
808,kiminancha,coeficiente
809,kimirik,contigüos.
810,kimirik kuchukuna,ángulos contiguos o adiacentes
811,kimirishka yuyay,oración subordinada
812,kimiriy,acercarse
813,kimpu / kashtuna,"mandíbula, quijada"
814,kimraymaya,hipotenusa
815,kimsa,"tres, 3"
816,kimsa chunka,"treinta, 30"
817,kimsa kilkanancha kutinchiy,factorización de trinomios
