,Kichwa,Spanish
818,kimsa patsak,"trecientos, 300"
819,kimsachishka kullka,prisma triangular
820,kimsachishkapa tawa,trinomio cuadrado perfecto
821,kimsakamachik,regla de tres
822,kimsakamachimuk,regla de tres inversa
823,kimsakamachiyak,regla de tres simple
824,kimsakilkanancha kutinchiy,factorización de trinomios
825,kimsamanyachi,triángulo
826,kimsamanyachikamay,trigonometría
827,kimsamanyapurachi,relaciones trigonométricas
828,kimsaniki kallariy yachay,tercer nivel de ed. básica.
829,kimsaniki kallariyachay,tercer nivel
830,kimsapaktamanyachi,triángulo equilátero
831,kincha,corral
832,kinchak,corchetes.
833,kinku,curva
834,kinkuk,paréntesis.
835,kinraymanya,hipotenusa
836,kinrayshuyu,función
837,kinti,picaflor
838,kinuwa,quinoa
839,kipapakchiruray,proyecto
840,kipapakchiruray yachay,proyecto de aula
841,kipilli,paquete
842,kiri,llaga
843,kirkinchu / kachikampu,armadillo
844,kiru,árbol
845,kishparik,independencia
846,kishpichina,perdonar
847,kishpiripacha,liberalismo
848,kishuar,quishuar
849,kita,brioso
850,kiti,cantón
851,kiti apuk,jefe político
852,kiti kamaklli,concejal
853,kiti kapachik apuk,comisario nacional
854,kitikapak,capital provincial
855,kitilli,parroquia
856,kitilli apuk,teniente político
857,kucha,lago
858,kuchaku,laguna
859,kuchawpi,bicectriz
860,kuchi,cerdo
861,kuchulla,cerca
862,kuchupatay,grado angular
863,"kuku, pukchi",libra
864,kukulli,paloma
865,kulla,enero
866,kulla killa,enero
867,kullasuyu,región sur
868,kullka,prisma
869,kullka puncha,jueves
870,kullkikamak wankuri,asociación bancaria
871,kullkikamak wankuriy,asociación bancaria
872,kullkikamak wasi,"banco, mutua, copo, corporación, financiera"
873,kullkikamay,economía
874,kullkikamay kamu,libro contable
875,kullkikamay shinayachi,conmutabilidad bancaria
876,kullkikamaychik,sistema contable
877,kullkikikinchik,póliza
878,kullkilli,"billetes de denominacion baja, pequeños"
879,kullkimantawankuri,organización económica
880,kullkimashnayachik,presupuesto
881,kullkiminkay kamu,libro banco
882,kullkipatsakri,impuesto
883,kullkirayku hatun tantanakuy,grandes bloques económico
884,kullkirayku llankay,actividad económica
885,kullkiyuk,capitalista
886,kullku,tronco
887,kulta,pato
888,kumuriy,inclinarse
889,kuna,dar
890,kunakuy,ofrecer
891,kunakyuyayku,refrán
892,kunan,presente
893,kunan pacha,tiempo presente
894,kunan yallishka,participio
895,kunana,consejo
896,kunanyallishka,participio.
897,kunka,"garganta, cuello"
898,kunka tullu,nuca
899,kunkaklla,olvidadiso
900,kunkallina,bufanda
901,kunkariy,olvidarse
902,kunkashka,olvidado
903,kunkay,olvidar
904,kunkaycha,"negligencia, descuido"
905,kunkaychashka,"descuidado, negligente"
906,kunkaychay,descuidar
907,kunkaychiy,"omisión, omitir"
908,kunkaylla,"tranquilo, en reposo"
909,kunkuri,rodilla
910,kunkuriy,arrodillarse
911,kuntisuyu,occidente
912,kuntur,condor
913,kunuk,caliente
914,kunuk allpa,costa
915,kunuk yaku,agua termal
916,"kunukuy, killuchakay",carbohidrato
917,kupa,rastrojo
918,"kupa, ñuku",basura
919,kurikinka,curiquingue
920,kurpa,masa (amasado
921,kurpa (chanpa),terrón
922,"kurpa, putuk",enano
923,kurpañutuchi,desterronamiento
924,kuru,gusano
925,kurun anta,"motocicleta, moto"
926,kururuna,ovillar
927,kuruta,testículo
928,kusa,"esposo, marido"
929,kusana,asar
930,kushi,alegre
931,kushikuy,emoción
932,kushillu,mono
933,kushipatak,sacerdote
934,kushiyay,alegria
935,kushkapaktay,puntualidad
936,kushma,camisa
937,kushpana,saltar
938,"kushpana, pawana",saltar
939,kuska,"parte, sitio, lugar, dirección"
940,kuska imallichik,adverbio del lugar
941,kuskallpayku,subterráneo
942,kuskayupay chani,valor relativo
943,kuski,"septiembre, frondoso, abundancia"
944,kuski killa,septiembre
945,"kuskina, hamutayana",analizar
946,kuskunku,buho
947,kutachik,molinero
948,kutana,molino
949,kuticharina,rescatar
950,kutichina,responder
951,kutichiy,responder
952,kutin,vez (veces
953,kutinchi,múltiplo.
954,kutinchichiy,factorización
955,kutinchik millka,tabla de frecuencias
956,kutinchiklla,frecuencia absoluta
957,kutinchina,repetir.
958,kutinchina(w),repetir
959,kutinchishka yupaykuna,números múltiplos
960,kutinchiy,multiplicación
961,kutinkutinchik,exponente
962,kutinkutinchiy,potenciación
963,kutinkutinmuchiy,radicación
964,kutinkutirik,base (de potencia
965,kutinriksina,reconocer
966,kutirichiy,convertirse
967,kutirik,factor común
968,kutirik taripay,búsqueda del factor común
969,kutsana,rasgar.
970,kutsi,ligero
971,kutsiy,agilidad
972,kuwartilla - ukapa,cuartilla ( +/- 60 lb.
973,kuy,cuy / conejillo de indias
974,kuya,"reina, emperatriz, soberana del incario. señora, dama"
975,kuyak,acariciador
976,"kuyana,",amar
977,kuyashka,amante
978,kuyaylla,"hermosa, linda"
979,kuyka,lombríz
980,kuykakamay,lombricultura
981,kuyllur,asterisco.
982,kuytsa,"joven, adolescente (mujer"
983,kuyurihillanta,máquina
984,kuyuy,mover
985,lachuri,hijastro
986,ladera,shayak allpa
987,lamama,madrastra
988,lancha,tizón
989,lapani,hermanastra
990,laushi,hijastra
991,lawawki,hermanastro
992,layaya / latayta,padrastro
993,llachak,vegetal
994,llachakamay,flora
995,llachapashka,remendado
996,llachapay,remendar
997,llachapayuk,remendon
998,llaki,triste
999,llaki,tristeza
1000,llakichik,perjuicios
1001,llakichik wallpariykuna,formas de explotación
1002,llakichipacha,la colonia
1003,llakichiy,explotación
1004,llakilla,triste
1005,llakitukuy,desastre
1006,llakta,pueblo
1007,llakta ushay,democracia
1008,llaktakay,pueblos
1009,llaktamanta llukshiri,migración
1010,llaktapak ushay,democracia
1011,llaktari allpa,territorio
1012,llaktarimay,dialecto
1013,llaktay,pueblo.
1014,llaktayku,población
1015,llaktushay,democracia
1016,llakushi,sentimiento
1017,llama,"llama, oveja"
1018,llamkaypaktachi,función rol
1019,llamkaywillay,informe
1020,llamkayñan,planificación
1021,llampu,liso
1022,llankahillay,equipos
1023,llankamana,inutil
1024,llankanauku,oficina
1025,llankanaukuk,oficinista
1026,llankayñan,planificación
1027,"llano, campo",pampa
1028,llantu,sombra
1029,llanturiy,eclipse
1030,llapiriy,presión
1031,llashachik,balanza
1032,llashak,masa y peso
1033,llashak tupu,medida de masa
1034,llatanay,"descubrirse, sacarse la ropa"
1035,llawsayachik,endòcrino
1036,llawsayari,viscosidad
1037,llawtu,"corona, diadema"
1038,llichayuk,dichoso
1039,llika,sistema
1040,llika yachay wasikuna,redes educativas
1041,"llika, wallpa",estructura
1042,lliwitupu,radianes
1043,lluki,izquierdo
1044,lluki maki,mano izquierda
1045,llullana,mentir
1046,llullu,tierno
1047,llumpak,limpio
1048,llumpakay,virginidad
1049,llumpakshunku,castidad
1050,llushpichiy,despegar
1051,llutachina,pegar.
1052,llutariy,magnetismo
1053,loma,tula
1054,lulun,huevo
1055,lumu,yuca
1056,lutsay,"proporción, proporcionalidad"
1057,lutsaychishpa raki,reparto proporcional
1058,lutsaykumuk,proporción armónica o inversa
1059,lutsaykutinchik,frecuencia relativa
1060,lutsaykuyak,proporcionalidad inversa
1061,lutsaysapayak,proporcionalidad directa
1062,machana,emborrachar
1063,machu,tuerto
1064,makana,pegar
1065,makanakuy,guerra
1066,makanakuy runakuna,guerreros
1067,makay,"golpe, pegar, agravio"
1068,maki,mano
1069,maki hawa,palma de la mano
1070,maki ruka,uña del dedo de la mano
1071,maki washa,dorso de la mano
1072,maki-watana,"manilla, pulsera"
1073,makillina,guante
1074,makimañachi,colaboración mutua
1075,makimañachiy,prestación de mano para el trabajo
1076,makimañashpa,una mano de ayuda
1077,makimañay,pedir la mano para casarse
1078,makipakchiruray,artesanía
1079,makirumpay,voleibol
1080,makirurashka,manualidad
1081,makiruray,artesanía
1082,makiruraykamay,artesanía
1083,makiyasiy,voleibol
1084,maklluy,peligro
1085,maklluy (gt),peligro
1086,mallina,"probar, saborear"
1087,mama,"madre, mamá"
1088,mama chanka,muslo
1089,mama chumpi,faja-madre
1090,mama kullki kamachi,regla de interés
1091,mamakamachik,constitución
1092,mamakucha,océano
1093,mamakullki,capital
1094,mamallakta,país
1095,mamallakta kallaripa tantanakuy,asamblea constituyente
1096,mamallakta kawsay kallari,vida republicana
1097,mamallakta michari,defensa nacional.
1098,mamallakta pura kapak kamay,política exterior
1099,mamallaktachiy,estado
1100,mamallaktapa apukwasi,palacio de gobierno
1101,mamallaktapa haylli,himno nacional
1102,mamallaktapa kapak,nacionalista
1103,mamallaktapak tantanakuy,estado
1104,mamallaktapura kullkikulka,fondo monetario internacional (fmi
1105,mamayakunta mintalay,comercio marítimo
1106,mana alli,"mal, malo"
1107,mana rikshka antakuna,los ovnis
1108,mana riksishka,extraño
1109,mana tukurik,infinito
1110,manahaykapash,nunca jamas
1111,manapakiyak yupay,número irracional
1112,manapipash,"nadie, ninguno"
1113,manarak turuwan makiruray pacha,período precerámico
1114,manashuwak,honrado
1115,manañakcharishka,despinado
1116,manchay,temer
1117,manllariy,asustarse
1118,manllay,"temer, tener miedo"
1119,manuchaskiy,cobrar
1120,manya,"borde, lado"
1121,manyaku,cateto
1122,manyakupurachi,tangente
1123,manyakupuramuchi,cotangente
1124,manyakupuramunchi,cotangente
1125,manyapikakkuna,extremos
1126,manyatupu,perímetro
1127,manña,"borde, orilla"
1128,mapayashka,obseno
1129,mapayay,pornografía
1130,marka kamachik,prefecto
1131,markakamachiklli,consejero provincial
1132,markapuk,gobernador
1133,masha,"yerno, cuñado"
1134,mashi,amigo
1135,mashipurari,relación mutuo
1136,mashkaychani,incógnita
1137,mashnayachi,conocimiento de cantidad o cálculo
1138,mashnayachina,calcular
1139,mashnaykuna,cantidad
1140,"mashu, chimpilaku",murciélago
1141,mashuwa,mashua
1142,maskana,buscar
1143,maskaypacha,corona
1144,masma yachak,ingeniero
1145,masmana,construir
1146,masmay,armar
1147,mawkana,usar
1148,may kutinchikuna,productos notables
1149,may mutsuri,importantes
1150,may rakikuna,cocientes notables
1151,mayalli,indispensable
1152,"maychani, raymana",importancia
1153,mayhatun,macro
1154,maykanpash,cualquiera
1155,maykutinchikuna,productos notables
1156,maymachariy,alcoholismo
1157,maymutsurik,importante
1158,"maymutsuriy, maychaniy",importancia
1159,maypakchiruray,arte
1160,mayrakikuna,cocientes notables
1161,mayu,río
1162,mayuchilla,micro
1163,maywa,"morado, violeta"
1164,maywana,enamorar
1165,"maywana, munayana",enamorar
1166,mañana,pedir
1167,mañay,solicitud
1168,mi si,gato
1169,michachikanyay,descomposición de la energía
1170,michina,pastar
1171,"mika, mati",plato de madera
1172,miklla,treinta libras
1173,mikuna,comer
1174,"mikuy, mikuna",alimento
1175,milchina,manipular
1176,"milchina, llanwana",palpar
1177,milchinay,experimentar
1178,milka,"párrafo, cuadro"
1179,milkachishka,killka cuadro sinóptico.
1180,milkachishka killka(w),cuadro sinóptico
1181,milkakinrayshuyu,histograma
1182,millanayay,feo
1183,millaymakay,
1184,millkashuyu,gráfico de barras
1185,milluku,melloco
1186,minchakama,despedida (próxima ocasión
1187,minchayana,despedirse.
1188,minchayana (w),despedirse
1189,minkana,encargar
1190,minkarik,huesped
1191,mintala,comerciante
1192,mintalana,comercializar
1193,mintalanayay,comercializaciòn
1194,mintalay,comercio
1195,mintu,pirámide
1196,mirachina,aumentar
1197,mirachina (w),reproducir
1198,mirana,"aumentar, producir,"
1199,mirka,"paño, mancha de la cara"
1200,mishanakuy,competencia
1201,mishay,"ganr, competir"
1202,mishki,dulce
1203,mishu,mestizo
1204,mishuma uchu,ají menos picante
1205,mitsa,verruga
1206,mitsak,mezquino
1207,mitsana,mezquinar
1208,"miyuchina, mapayachina",contaminar
1209,miyuwayra,anhídrido carbónico
1210,miyuy,contaminación
1211,miyuy wanu,fertilizante químico
1212,miyuychi,contaminaciòn
1213,"montaña, cerro",urku
1214,"monte, bosque, selva",sacha
1215,muchana,besar
1216,muchiku,sombrero
1217,muksi,oxido
1218,muku,nudo
1219,muku,articulación
1220,munana,querer
1221,munanayay,deseo carnal
1222,munapayay,desear con locura
1223,munarishka,aficionado
1224,munay,deseo
1225,munay killka,escritura de expresión libre
1226,munay yachay,auto estudio.
1227,munaymanta ruray,"hobby, pasa tiempo"
1228,muntira,gorra
1229,murtiñu,mortiños
1230,muru unkuy,sarampión
1231,"muru, añawi",fruto
1232,muruchu,morocho
1233,murukuna,"productos agrícolas, granos"
1234,mushuk,nuevo
1235,mushukpacha,neolítico
1236,mushukyachinalla,renovable
1237,muskuna,soñar
1238,musparina,desvariar
1239,musyana,preveer
1240,"musyana, kipakrikuna",prever
1241,musyay,"prevención, temer, tener miedo"
1242,mutilon,motilones
1243,mutsukmanta,necesariamente
1244,mutsuna,necesitar
1245,mutsuri killkanancha kutinchi,productos notables
1246,mutsurik,útil
1247,mutsushka,"necesitado, menesteroso"
1248,mutsuy,uso
1249,mutsuy,necesitar
1250,mutsuypa,utilidad
1251,muyu,semilla
1252,muyuna,rodear
1253,muyuntin,alrededor
1254,muyuntintupu,medida del círculo
1255,muyuriy,giro
1256,muyuy rimay,mesa redonda
1257,muyuy tupu,perímetro de la circunferencia
1258,muyuykuchu,ángulo de giro
1259,muyuypacha,ciclo
1260,muyuyrimay,mesa redonda.
1261,muyuyshuyu,gráfico de pasteles
1262,muyuytupu,longitud de la circunferencia
1263,nanay,dolor
1264,nankay,equilibrio
1265,napaykuna,saludos
1266,niki,orden
1267,nikichik,"ordenador, computadora, pc"
1268,nikichina,"ordenar, organizar"
1269,nikirakiri,fase
1270,nikiyupay,números ordinales
1271,nikiyupaykuna,números ordinales
1272,nikyachay,teorema
1273,nimaykan,ninguna
1274,nina,"fuego(llama, candela"
1275,nina kuru,luciérnaga
1276,"ninayay, rupariy",combustión
1277,nipa,elemento
1278,nipakutichi,intersección.
1279,nipapurachi,"correspondencia, relación"
1280,nipayay,componente
1281,nishani,autodeterminación
1282,nuna,"espíritu, alma"
1283,pacha,tiempo y espacio
1284,pacha imallichik,adverbio de tiempo
1285,pacha shuktayay,fenómeno natural
1286,pacha tupuk,reloj
1287,pachachik,reloj
1288,pachachik- sayllachik,reloj
1289,pachakutik pacha,renacimiento
1290,pachamama,mundo
1291,pachamamapi tiyak,recurso natural
1292,pachamamapi tiyakkuna,recursos naturales
1293,pachanyachiy,fomento
1294,pachapi tiyak chimpaykuna,teoría de la relatividad.
1295,pacharikuy,cosmovisión.
1296,pacharikuy(w),cosmovisión
1297,pachatupu,medida de tiempo
1298,pachaykamay,física
1299,pakana,esconder
1300,pakarikuy,velar
1301,pakarina,amanecer
1302,pakashka,escondido
1303,pakay,huabo
1304,pakcha,cascada
1305,pakchi,técnica
1306,pakchiruray,tecnología
1307,pakchirurayachay,taller
1308,pakiriklla,frágil
1309,pakiy,"romper en pedazos, destrozar"
1310,pakiyupay,número racional
1311,pakpayu,aves
1312,paktachani,ecuación o igualdad de valores
1313,paktachay,justicia
1314,paktachichin,responsabilizar.
1315,paktachichina,responsabilizar
1316,paktachik,responsable
1317,paktachik kuchu,ángulo complementario
1318,paktachik tantachishka,conjunto complementario
1319,paktachikkuna,propiedades o relaciones
1320,paktachikuna,propiedades
1321,paktachiriy,asumir responsabilidad
1322,paktachiy,responsabilidad
1323,paktak,suficiente
1324,paktakamu,libro mayor
1325,paktakuchu,ángulo recto
1326,paktakuchu kimsamanyachi,triángulo rectángulo
1327,"paktakuyuy, waskariklla",ritmo
1328,paktalla kawsay,equidad de género
1329,paktama,jeme
1330,paktamanya,cateto menor
1331,paktanancha,resultado
1332,paktapuchu,diferencia simétrica
1333,paktara,cuidado
1334,paktaraki,divisibilidad.
1335,paktarakikyuk pakiyupaykuna,fracciones homogéneas
1336,paktarakikyupay,máximo común divisor
1337,paktarakirikyupay,mínimo común múltiplo
1338,paktay,objetivo
1339,paktayachay,currículo
1340,paktayashka,equivalente
1341,paktayuyay,definición
1342,paku,café
1343,pal anta,plátano
1344,"palama, itha, añallu",insecto
1345,palamamiyu,insecticida
1346,pallana,cosechar
1347,pallay,cosechar
1348,palta,aguacate
1349,paltarikkuska,barra
1350,pamaway,cosmos
1351,pamaway nipa,elemento cósmico
1352,pamawayak,cósmico
1353,pamawyri,cósmico
1354,pampa,planicie
1355,pampa shuyukuna,figuras planas
1356,pampallpa,llanura
1357,pampawarmi,prostituta
1358,panchi,febrero
1359,panchi killa,febrero
1360,pani,hermana (hermano a hermana
1361,pankakullki,billetes
1362,pankalli,"documento de identificacion, documento pequeño"
1363,panta,confuso
1364,"pantano, ciénega",wampu allpa
1365,pantay,confusion
1366,papa,patata
1367,papaya,papaya
1368,parana,"demorar, durar (en imbabura"
1369,parkuna,regar
1370,paruk,pulmón
1371,pascal kutinkutinchi,esquema de paskal
1372,paskakuchu,ángulo obtuso
1373,paskakuchu kimsamanyaychi,triángulo obtusángulo
1374,paskama,cuarta
1375,paskama-ukapa,cuarta de mano
1376,paskana,abrir
1377,paskarikra,braza (longitud
1378,paskay,abrir
1379,pasña,adolescente (mujer
1380,pata millma,vello púvico
1381,pata tullu,hueso púvico
1382,patarina,doblar.
1383,patay,grado sexagecimal
1384,patayak:,tramo
1385,patayay,tramo
1386,patayayku,"intervalo, recorrido, rango"
1387,patayku,minutos angulares
1388,pataykulla,segundos angulares
1389,patpa,pluma
1390,patpay,emplumar
1391,patsak,"cien, 100"
1392,patsak piti,tanto por ciento
1393,patsakri,porcentaje
1394,patsakri shutichi,notación porcentual
1395,patsakri shutichiy,notación porcentual
1396,patsakrikrapampa,cuadra
1397,patsaktatkipampa,hectárea
1398,patsakwata,siglo
1399,pawana,volar
1400,pawkar,marzo
1401,pawkar,marzo
1402,pawkar killa,marzo
1403,pay,ella
1404,paya,vieja
1405,paya mama,anciana
1406,paya ruka,dedo pulgar
1407,payku,payco
1408,paykuna,ellas
1409,payllashka,pagado
1410,payllay,pagar
1411,paypachik,pertenencia
1412,paypaknay,pertencer
1413,peña,haka
1414,phacha,sábana
1415,phallkala,sien
1416,phanka,hoja
1417,phankalla,liviano
1418,phatsayana,separar
1419,phawachik anku,nervio
1420,phintu,"manta, trapo"
1421,phintu ushuta,medias
1422,pichay,limpia
1423,"pichay, chuyay, mayllay","limpieza, aseo"
1424,pichka,"cinco, 5"
1425,pichka chunka,"cincuenta, 50"
1426,pichka patsak,"quinientos, 500"
1427,piki,pulga
1428,pillis,piojo del cuerpo
1429,pillpintu,mariposa
1430,pimill,alga acuática
1431,pinkay,vergüenza
1432,pinkullu,tobillo
1433,pinllu,lechero
1434,piruri,rol
1435,piruru,disco
1436,pirway,diagramación
1437,pirwayay,maqueta
1438,"pirámide natural,",kutama
1439,pishiyak pakiyupay,fracción propia
1440,pishiyashka,menor que
1441,pishku,"pájaro, ave"
1442,"pishku, patpayuk",ave
1443,piti,poco
1444,pitikuska,segmento
1445,"pitina, kuchuna",cortar
1446,pituy,deseo amoroso
1447,"pityuk, chuskulli pukcha",arroba
1448,piñakuy,enfadado
1449,piñana,enfadarse
1450,piñashka,enojado
1451,plumaje,patpasapa
1452,policia,chapak
1453,puchu,diferencia
1454,puchu tupati,cabo de vela
1455,puchuy,extraño
1456,puka,rojo
1457,puka sara,maíz rojo
1458,pukara,lugares sagrados – centros ceremoniales
1459,pukcha,quintal
1460,pukchiku,onza
1461,pukllana,jugar
1462,pukllay,deporte
1463,pukpu,"litro, botella"
1464,pukshay akllay kamachik,tribunal electoral
1465,puku,plato
1466,pukuk,soplador
1467,pukukuk,productivo
1468,pukukun,"fecundo, fertil"
1469,pukuna,cerbatana
1470,pukushka,encantado
1471,pukuy,producción
1472,pukuyay,madurez
1473,pukyu,vertiente
1474,pullkanka,escudo
1475,pullkankayuk,escudero
1476,puma,puma
1477,puma-maki,pumamaqui
1478,punasuyu,región sierra
1479,puncha,día
1480,punchaklla,claro
1481,punchankamu,libro diario
1482,punchanta kawsay,vida cotidiana
1483,punchayakun,alba
1484,puntu,vasija
1485,pupu,ombligo
1486,puray,relación
1487,purichihallmay,segunda desyerbe
1488,purik,caminante
1489,purikacha,paseo
1490,purina,caminar
1491,purun,llanura abandonada
1492,purun wiwa,animal silvestre
1493,purutu,fréjol
1494,pusak,"ocho, 8"
1495,pusak chunka,"ochenta, 80"
1496,pusak patsak,"ochocientos, 800"
1497,pusakkamay,dirección
1498,pushak,lider
1499,pushakakllay,tribunal
1500,"pusku, hatki",ácido
1501,"pusku, putuku",espuma
1502,putiha,unidad fundamental de la fanega
1503,putika,"botija (12,5 lib"
1504,putitupu,medida de volumen
1505,putu,galón
1506,putuk,trapecio
1507,putukuk,trapezoide
1508,puyuy,evaporación
1509,puzun,estómago
1510,puñuna,dormir
1511,puñuyllak,insomnio
1512,raka,vagina
1513,? rakacha,zanahoria
1514,rakacha,zanahoria
1515,rakikyupay,denominador
1516,rakikyupaykuna,números divisores
1517,rakinakuy,distribución
1518,rakinchi,submúltiplo
1519,rakiri,"parte, sección"
1520,rakirikuska,partes
1521,rakirikyupay,numerador
1522,raku,grueso
1523,raku chunchulli,intestino grueso
1524,raku kushma,abrigo
1525,raku purutu,porotón
1526,rakuyay,grosor o espesor
1527,rantimpana,intercambiar.
1528,rantimpayni,reciprocidad.
1529,rantina,comprar
1530,rantinpa pankakuna,documentos comerciales
1531,"rantinpak, ayni",reciprocidad
1532,rantinpaktak,conmuntativa
1533,rantinpanka,factura
1534,rantinpankaku,tarjeta de crédito
1535,ranziyu,"gringos, ingleses"
1536,ranziyukunapak mamallakta,país anglosajona
1537,rasu,sólido (agua
1538,rasuyay,solidificación (agua
1539,ratata,fuego (energía
1540,ratata allpa,pólvora
1541,ratata urku,fuego del volcán
1542,rawmay,podar
1543,rawrana,arder
1544,rawranay kaspikuchuna kapak,caballero de la ardiente espada
1545,rayku,ocasion
1546,raymi,"junio, fiesta"
1547,raymi killa,junio
1548,razu,nevado
1549,rikcha,semejanza
1550,rikcha,"semejanza, congruencia"
1551,rikcha kutirik,factor común
1552,rikchachani,valor semejante
1553,rikchak,foto
1554,rikchak,"foto, fotografía, semejante"
1555,rikchakmaytu,"carrete de fotos, rollo de pelicula para fotos"
1556,rikchay/suyu,figura
1557,rikchayachiy,genética
1558,rikra,brazo
1559,rikra uku,axila
1560,rikramuku,codo
1561,riksi,conocido
1562,riksichik yuyay,presentación
1563,riksichikyuyay,presentación.
1564,riksina,conocer
1565,riksiri,identidad (persona
1566,riksishka,conocido
1567,rikuchi,manifestación
1568,rikuchik ruka,dedo índice
1569,rikuchikkuna,indicadores
1570,rikuchina,exponer
1571,rikuchishuyu,pictograma o icono
1572,rikuchiy,índice
1573,rikuna,mirar
1574,rikurayana,controlar
1575,rikurik,"vista, que se ha visto"
1576,rikuypacha,paisaje
1577,rimak,hablante
1578,rimana,"relatar, hablar"
1579,rimanakuna,dialogar
1580,rimarikuna,"expresiones, conversaciones"
1581,rimayachakuy,seminario
1582,rimaykachay,discurso
1583,rimaytaki,copla
1584,rinri,"oreja, oído"
1585,rinri kuru,caracol del oído
1586,rinrina,arete
1587,ripana,ir
1588,ripankalli,"boleto o ticket de avion, tren, autobus"
1589,ritimuna,energía
1590,ritirina kuska,lugares energéticos
1591,ritiwayra,energía eòlica
1592,ritiy,energía
1593,ruka,dedo
1594,ruku,viejo
1595,ruku yaya / ruku tayta,anciano
1596,rukutu uchu,ají picante
1597,rumiyashka,fósil
1598,runa,ser humano
1599,runakak,ser humano
1600,runapachakay,humanidad
1601,runapak aycha,el cuerpo humano
1602,runashina,personaje
1603,runayay pacha yuyay,evolución del hombre
1604,runpaki,pelota de futbol
1605,ruparishka,quemadura
1606,rupariykuna,combustión
1607,rurakay,"deber hacer, obligacion"
1608,rurana,aplicar
1609,rurarayana,ejercitar.
1610,rurarayana (w),ejercitar
1611,rurarayay,ejercitar
1612,rurashkayuyay,antecedente
1613,ruray,"función, edificar, construir"
1614,ruray paktachi,rol (función
1615,ruraykatichiy,programa (agenda
1616,rurayri ñan,proceso operativo
1617,rurukuna,frutas
1618,ruwana,poncho
1619,río,mayu
1620,sacha,selva
1621,sacha wiwa,animal silvestre.
1622,sachana,forestar
1623,sachayu,silvestre
1624,sakina,"abandonar, dejar"
1625,sakiriy,quedarse
1626,sakishka,"abandonado, dejado"
1627,sakma,bofetada
1628,sakmay,abofetear
1629,sakra,brujo
1630,sakrachiy,hacer brujería
1631,sakray,"embrujar, hechizar, echar maleficios"
